Max_Next_4,Min_Next_4
,
,
,
1883.805,1880.388
1883.805,1880.388
1883.805,1880.238
1882.525,1877.598
1881.948,1875.308
1881.788,1875.308
1880.488,1875.308
1881.158,1875.308
1881.158,1877.118
1884.235,1877.118
1884.535,1878.028
1884.535,1878.028
1884.535,1878.835
1884.535,1878.835
1883.508,1878.835
1883.508,1879.448
1883.508,1879.448
1883.145,1880.298
1885.575,1880.298
1885.665,1880.298
1885.665,1881.148
1886.135,1881.288
1886.135,1882.745
1886.135,1882.745
1886.135,1883.088
1886.125,1881.775
1888.948,1881.775
1890.258,1881.775
1890.258,1881.775
1890.258,1885.445
1890.258,1881.068
1887.878,1881.068
1887.088,1877.198
1886.705,1877.198
1885.928,1877.198
1887.428,1877.198
1889.228,1879.468
1889.228,1880.878
1889.488,1880.878
1892.018,1884.318
1892.018,1884.318
1892.018,1884.318
1892.018,1885.205
1892.875,1885.205
1892.875,1885.205
1892.875,1885.205
1892.875,1888.355
1893.258,1889.308
1894.035,1889.308
1895.568,1889.308
1895.568,1891.688
1898.058,1892.725
1898.415,1892.725
1898.958,1893.668
1898.958,1894.755
1898.958,1895.465
1898.958,1895.465
1897.695,1895.465
1897.695,1894.848
1897.695,1894.345
1897.678,1894.305
1897.948,1894.305
1897.948,1894.305
1898.138,1894.305
1898.548,1896.608
1898.548,1896.518
1898.548,1896.518
1898.548,1896.518
1898.705,1896.518
1898.925,1896.948
1898.925,1897.558
1899.235,1897.665
1899.235,1897.748
1899.235,1896.638
1899.235,1895.138
1898.928,1894.995
1898.278,1894.995
1896.918,1894.198
1896.915,1892.768
1896.865,1892.768
1897.428,1892.768
1897.428,1892.495
1897.428,1892.495
1897.428,1892.495
1896.658,1892.495
1896.658,1892.168
1896.658,1887.618
1895.568,1887.618
1895.568,1887.618
1892.578,1887.618
1890.668,1887.425
1890.368,1887.025
1890.558,1887.025
1890.728,1887.025
1891.858,1887.025
1891.898,1888.808
1891.898,1889.435
1891.898,1887.515
1891.898,1883.908
1891.185,1883.585
1890.698,1883.585
1889.265,1883.585
1890.058,1883.585
1890.058,1883.655
1890.058,1883.655
1890.058,1883.655
1888.708,1883.655
1888.708,1883.758
1888.708,1884.325
1888.708,1882.438
1887.768,1881.518
1887.138,1881.238
1885.118,1881.238
1884.825,1881.238
1884.825,1881.238
1884.825,1881.445
1886.485,1882.408
1887.845,1882.408
1887.845,1883.188
1887.845,1883.305
1887.845,1883.868
1886.695,1882.718
1886.595,1881.775
1888.518,1881.775
1896.988,1881.775
1900.118,1881.775
1900.118,1883.008
1900.118,1886.828
1900.118,1886.068
1896.798,1881.598
1895.908,1881.598
1892.798,1881.598
1890.228,1881.598
1892.048,1883.938
1900.208,1884.398
1902.115,1884.398
1902.115,1885.538
1902.115,1890.718
1902.115,1893.538
1901.118,1893.338
1897.778,1893.338
1898.035,1893.338
1898.035,1888.465
1898.035,1887.325
1898.035,1887.325
1897.638,1887.325
1893.698,1887.325
1895.135,1890.085
1895.135,1889.718
1895.135,1887.038
1895.135,1886.985
1894.628,1885.165
1891.348,1885.165
1890.668,1885.165
1888.975,1885.165
1888.708,1885.198
1888.678,1885.198
1887.975,1884.558
