gap,gap_segment,predicted_max_diff_open,predicted_min_diff_open
0.5,1,0.34988755,-0.2559005
0.53,1,0.3500296,-0.25599936
0.55,1,0.35012433,-0.25606525
0.58,1,0.35026637,-0.25616407
0.59,1,0.35031372,-0.25619704
0.59,1,0.35031372,-0.25619704
0.59,1,0.35031372,-0.25619704
0.66,1,0.3528942,-0.25912187
0.694,1,0.35787162,-0.26500374
0.694,1,0.35787162,-0.26500374
0.697,1,0.35831082,-0.26552275
0.707,1,0.35977474,-0.2672527
0.71,1,0.36021394,-0.2677717
0.717,1,0.36123872,-0.26898265
0.733,1,0.363581,-0.2717506
0.74,1,0.36460578,-0.2729616
0.75,1,0.36606973,-0.27469155
0.757,1,0.36709452,-0.2759025
0.76,1,0.36753368,-0.27642152
0.76,1,0.36753368,-0.27642152
0.76,1,0.36753368,-0.27642152
0.76,1,0.36753368,-0.27642152
0.762,1,0.36782646,-0.2767675
0.774,1,0.36958322,-0.27884346
0.78,1,0.37046155,-0.27988145
0.79,1,0.37192553,-0.2816114
0.79,1,0.37192553,-0.2816114
0.79,1,0.37192553,-0.2816114
0.798,1,0.3730967,-0.28299537
0.8,1,0.37338948,-0.28334138
0.81,1,0.37485343,-0.28507134
0.81,1,0.37485343,-0.28507134
0.81,1,0.37485343,-0.28507134
0.81,1,0.37485343,-0.28507134
0.814,1,0.375439,-0.28576332
0.82,1,0.37631738,-0.2868013
0.82,1,0.37631738,-0.2868013
0.82,1,0.37631738,-0.2868013
0.823,1,0.37675655,-0.28732032
0.827,1,0.37734216,-0.2880123
0.827,1,0.37734216,-0.2880123
0.83,1,0.37778133,-0.28853127
0.831,1,0.37792772,-0.28870428
0.834,1,0.37836695,-0.28922325
0.834,1,0.37836695,-0.28922325
0.836,1,0.37865973,-0.28956926
0.836,1,0.37865973,-0.28956926
0.837,1,0.3788061,-0.28974226
0.84,1,0.37924525,-0.2902612
0.84,1,0.37924525,-0.2902612
0.843,1,0.37968445,-0.29078022
0.853,1,0.38114846,-0.2925102
0.853,1,0.38114846,-0.2925102
0.857,1,0.38173398,-0.2932022
0.86,1,0.38217318,-0.29372117
0.86,1,0.38217318,-0.29372117
0.867,1,0.38319793,-0.29493213
0.87,1,0.38363713,-0.29545113
0.87,1,0.38363713,-0.29545113
0.873,1,0.3840763,-0.29597014
0.88,1,0.38510108,-0.2971811
0.883,1,0.38554025,-0.29770008
0.89,1,0.38656503,-0.29891106
0.89,1,0.38656503,-0.29891106
0.89,1,0.38656503,-0.29891106
0.89,1,0.38656503,-0.29891106
0.89,1,0.38656503,-0.29891106
0.89,1,0.38656503,-0.29891106
0.897,1,0.3875898,-0.30012202
0.897,1,0.3875898,-0.30012202
0.9,1,0.38802898,-0.300641
0.9,1,0.38802898,-0.300641
0.902,1,0.38832176,-0.30098704
0.908,1,0.38920015,-0.30202502
0.91,1,0.38949293,-0.302371
0.91,1,0.38949293,-0.302371
0.91,1,0.38949293,-0.302371
0.91,1,0.38949293,-0.302371
0.913,1,0.3899321,-0.30289
0.914,1,0.39007849,-0.30306298
0.914,1,0.39007849,-0.30306298
0.917,1,0.3905177,-0.30358198
0.917,1,0.3905177,-0.30358198
0.92,1,0.39095688,-0.30410096
0.92,1,0.39095688,-0.30410096
0.927,1,0.39198166,-0.30531192
0.928,1,0.392128,-0.30548492
0.93,1,0.39242086,-0.30583093
0.93,1,0.39242086,-0.30583093
0.937,1,0.39344558,-0.3070419
0.937,1,0.39344558,-0.3070419
0.937,1,0.39344558,-0.3070419
0.94,1,0.39388478,-0.3075609
0.94,1,0.39388478,-0.3075609
0.94,1,0.39388478,-0.3075609
0.947,1,0.39490953,-0.30877185
0.947,1,0.39490953,-0.30877185
0.947,1,0.39490953,-0.30877185
0.95,1,0.39534873,-0.30929086
0.95,1,0.39534873,-0.30929086
0.95,1,0.39534873,-0.30929086
0.95,1,0.39534873,-0.30929086
0.95,1,0.39534873,-0.30929086
0.957,1,0.39637348,-0.31050184
0.957,1,0.39637348,-0.31050184
0.957,1,0.39637348,-0.31050184
0.959,1,0.39666632,-0.31084785
0.96,1,0.39681268,-0.31102082
0.96,1,0.39681268,-0.31102082
0.96,1,0.39681268,-0.31102082
0.96,1,0.39681268,-0.31102082
0.96,1,0.39681268,-0.31102082
0.963,1,0.39725187,-0.3115398
0.978,1,0.3994478,-0.31413478
0.979,1,0.3995942,-0.31430775
0.98,1,0.39974058,-0.31448078
0.98,1,0.39974058,-0.31448078
0.98,1,0.39974058,-0.31448078
0.98,1,0.39974058,-0.31448078
0.98,1,0.39974058,-0.31448078
0.99,1,0.40120453,-0.31621075
0.99,1,0.40120453,-0.31621075
0.99,1,0.40120453,-0.31621075
0.99,1,0.40120453,-0.31621075
1,1,0.40266848,-0.31794068
1,1,0.40266848,-0.31794068
1.007,1,0.4039306,-0.319364
1.008,1,0.40414652,-0.3195992
1.01,1,0.40457836,-0.32006964
1.01,1,0.40457836,-0.32006964
1.01,1,0.40457836,-0.32006964
1.013,1,0.4052262,-0.32077533
1.014,1,0.40544215,-0.32101053
1.015,1,0.40565804,-0.32124567
1.017,1,0.40608987,-0.3217161
1.019,1,0.40652177,-0.32218653
1.02,1,0.4067377,-0.32242176
1.02,1,0.4067377,-0.32242176
1.023,1,0.40738547,-0.3231274
1.028,1,0.40846512,-0.32430342
1.03,1,0.40889698,-0.32477385
1.03,1,0.40889698,-0.32477385
1.03,1,0.40889698,-0.32477385
1.03,1,0.40889698,-0.32477385
1.031,1,0.40911293,-0.32500905
1.036,1,0.41019255,-0.3261851
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.04,1,0.41105625,-0.3271259
1.046,1,0.41235185,-0.32853723
1.048,1,0.4127837,-0.32900763
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.05,1,0.41321552,-0.329478
1.053,1,0.41386336,-0.33018368
1.053,1,0.41386336,-0.33018368
1.053,1,0.41386336,-0.33018368
1.057,1,0.4147271,-0.3311245
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.06,1,0.41537485,-0.33183014
1.063,1,0.41602263,-0.33253574
1.063,1,0.41602263,-0.33253574
1.064,1,0.41623858,-0.33277097
1.065,1,0.41645452,-0.3330062
1.067,1,0.41688636,-0.3334766
1.068,1,0.41710228,-0.3337118
1.07,1,0.41753414,-0.33418223
1.07,1,0.41753414,-0.33418223
1.07,1,0.41753414,-0.33418223
1.071,1,0.4177501,-0.33441743
1.077,1,0.41904566,-0.3358287
1.079,1,0.4194775,-0.33629912
1.08,1,0.41969344,-0.33653432
1.08,1,0.41969344,-0.33653432
1.08,1,0.41969344,-0.33653432
1.083,1,0.42034122,-0.33723995
1.087,1,0.42120492,-0.33818078
1.087,1,0.42120492,-0.33818078
1.087,1,0.42120492,-0.33818078
1.087,1,0.42120492,-0.33818078
1.09,1,0.42185274,-0.33888644
1.09,1,0.42185274,-0.33888644
1.09,1,0.42185274,-0.33888644
1.09,1,0.42185274,-0.33888644
1.09,1,0.42185274,-0.33888644
1.09,1,0.42185274,-0.33888644
1.093,1,0.42250052,-0.33959204
1.093,1,0.42250052,-0.33959204
1.093,1,0.42250052,-0.33959204
1.094,1,0.4227164,-0.33982724
1.097,1,0.42336422,-0.34053287
1.097,1,0.42336422,-0.34053287
1.097,1,0.42336422,-0.34053287
1.097,1,0.42336422,-0.34053287
1.097,1,0.42336422,-0.34053287
1.1,1,0.424012,-0.3412385
1.1,1,0.424012,-0.3412385
1.1,1,0.424012,-0.3412385
1.101,1,0.42422792,-0.3414737
1.103,1,0.4246598,-0.34194413
1.107,1,0.42552352,-0.34288496
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.11,1,0.4261713,-0.3435906
1.111,1,0.42638722,-0.34382582
1.114,1,0.427035,-0.34453142
1.114,1,0.427035,-0.34453142
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.12,1,0.4283306,-0.34594268
1.122,1,0.42876244,-0.34641308
1.123,1,0.42897838,-0.34664834
1.124,1,0.42919427,-0.3468835
1.125,1,0.42941025,-0.34711874
1.126,1,0.42962617,-0.34735397
1.126,1,0.42962617,-0.34735397
1.127,1,0.42984208,-0.34758916
1.127,1,0.42984208,-0.34758916
1.127,1,0.42984208,-0.34758916
1.127,1,0.42984208,-0.34758916
1.127,1,0.42984208,-0.34758916
1.13,1,0.4304899,-0.3482948
1.13,1,0.4304899,-0.3482948
1.13,1,0.4304899,-0.3482948
1.133,1,0.43113765,-0.3490004
1.134,1,0.4313536,-0.3492356
1.137,1,0.43200135,-0.34994122
1.138,1,0.4322173,-0.35017642
1.139,1,0.43243325,-0.35041168
1.14,1,0.43264917,-0.35064685
1.14,1,0.43264917,-0.35064685
1.14,1,0.43264917,-0.35064685
1.14,1,0.43264917,-0.35064685
1.14,1,0.43264917,-0.35064685
1.14,1,0.43264917,-0.35064685
1.141,1,0.4328651,-0.3508821
1.143,1,0.43329695,-0.35135248
1.147,1,0.43416065,-0.3522933
1.147,1,0.43416065,-0.3522933
1.149,1,0.43459252,-0.35276377
1.15,1,0.43480843,-0.35299894
1.15,1,0.43480843,-0.35299894
1.15,1,0.43480843,-0.35299894
1.15,1,0.43480843,-0.35299894
1.15,1,0.43480843,-0.35299894
1.153,1,0.43545622,-0.35370457
1.153,1,0.43545622,-0.35370457
1.157,1,0.43631995,-0.35464543
1.157,1,0.43631995,-0.35464543
1.157,1,0.43631995,-0.35464543
1.157,1,0.43631995,-0.35464543
1.159,1,0.43675184,-0.35511586
1.16,1,0.43696773,-0.35535106
1.16,1,0.43696773,-0.35535106
1.16,1,0.43696773,-0.35535106
1.16,1,0.43696773,-0.35535106
1.16,1,0.43696773,-0.35535106
1.16,1,0.43696773,-0.35535106
1.167,1,0.43847927,-0.35699755
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.17,1,0.43912703,-0.35770315
1.171,1,0.43934298,-0.35793838
1.173,1,0.4397748,-0.35840875
1.173,1,0.4397748,-0.35840875
1.173,1,0.4397748,-0.35840875
1.177,1,0.44063854,-0.3593496
1.177,1,0.44063854,-0.3593496
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.18,1,0.44128633,-0.3600552
1.184,1,0.44215006,-0.3609961
1.184,1,0.44215006,-0.3609961
1.187,1,0.44279784,-0.36170173
1.187,1,0.44279784,-0.36170173
